sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,dt12,dt23,dt34,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit
47,2026-04-03T01:10:57.413,278.9616741,2571.824553,-468.2525003,279.9083148,2494.316893,-454.1607289,274.7123259,2411.55741,-443.3008508,277.745771,2336.560214,-434.7740719,0.0129131,0.0147969,0.0160546,252.4761065,82.37126314,-803.0887675,-31.78094591,-2739.254531,1631.403514,0.5858764,1,1,1
48,2026-04-03T01:11:03.718,558.7572138,2646.988674,-612.8997147,554.0599626,2572.454403,-609.8902146,550.3816156,2499.526706,-608.7383878,546.9776983,2426.533023,-610.2240795,0.0162135,0.0155956,0.0163304,421.0607194,-41.0188809,-865.7051162,-133.7071152,-2653.884319,-1192.397501,0.6938447,1,1,1
49,2026-04-03T01:11:04.137,464.3218367,449.4571569,-766.0675206,462.1612141,416.2427708,-767.2052262,459.9216718,370.0253176,-771.307479,454.4401258,324.0959877,-778.5527853,0.0160793,0.0153881,0.0164997,435.3357621,3.136789964,-938.6717494,-150.986495,-2265.740594,-1774.604509,0.143103,1,1,0
50,2026-04-03T01:11:06.534,-175.4381675,2532.252059,-574.0282598,-181.921925,2441.614617,-573.5236814,-192.069768,2350.339029,-576.8119809,-183.6294491,2271.682999,-580.9847377,0.016986,0.0146856,0.0168665,-313.4402214,67.89897376,-800.305967,-174.8261606,-3290.160065,610.6461492,0.4947007,1,1,1
51,2026-04-03T01:11:09.152,-35.3269929,2547.300158,-528.3256008,-34.33952902,2461.153027,-528.9282706,-31.31439302,2376.47708,-533.296585,-33.31750667,2291.503464,-538.1425595,0.0165896,0.0153365,0.01651,0.182141637,264.9768288,-801.9202762,40.76968943,-3157.059237,995.3809099,0.4805357,1,1,1
52,2026-04-03T01:11:11.992,178.4889237,2544.474941,-501.7933776,161.3308706,2448.378841,-481.7116199,156.944798,2359.135462,-464.1135922,137.3359949,2264.177645,-450.2679081,0.0145134,0.0130537,0.0164717,-134.2018021,136.7211686,-1007.782323,-517.3292908,-3950.016414,-3011.290991,0.4370494,1,1,0
53,2026-04-03T01:11:18.362,-59.89464181,2568.487317,-917.9550012,-64.67241963,2502.645109,-940.8177569,-70.05140485,2435.28057,-965.4715313,-72.19620388,2371.661731,-992.2779998,0.0166912,0.0152094,0.0165834,-4.257034393,63.09459134,-1013.746331,84.51020963,-2023.072502,-1246.119283,0.8387911,1,1,1
54,2026-04-03T01:11:20.983,36.04745496,2542.118112,-594.9189378,38.57872429,2476.50688,-600.7316765,38.92171475,2408.544245,-609.9266302,42.1546469,2344.56142,-621.2377697,0.0155948,0.0173966,0.0148762,190.9334814,-39.65063441,-968.8156896,109.3652648,-1872.94535,1561.809598,0.8452634,1,1,2
55,2026-04-03T01:11:23.793,-177.4975628,2538.804448,-628.8617561,-182.6791936,2475.130087,-636.8027738,-182.7535652,2414.740386,-646.9568154,-182.1940286,2355.988187,-659.9324933,0.0162766,0.0150843,0.017521,81.38214117,-1.388975012,-914.909335,183.0986146,-1454.255974,1378.007483,1.037628,1,1,2
56,2026-04-03T01:11:30.305,231.5977122,2531.136145,-583.7867142,227.4968858,2423.493684,-559.4834951,214.9488513,2310.203182,-539.8925197,205.0876318,2201.297722,-522.75807,0.0171024,0.0164089,0.0195882,-21.88025122,5.742965271,-887.6671136,-464.8186365,-4597.915522,-2523.257208,0.3820321,1,1,0
57,2026-04-03T01:11:37.040,-12.2443378,2562.193055,-979.366224,-6.98992363,2482.878883,-1019.098917,3.941331418,2406.467188,-1055.491323,11.4590441,2330.057699,-1097.240251,0.0135014,0.0135754,0.0126959,219.0833078,27.10685425,-923.8889141,184.1455725,-2103.173976,-786.1524228,0.8048776,1,1,1
58,2026-04-03T01:11:40.996,570.6666839,2711.905184,-848.0742713,550.7019508,2640.904278,-868.4414628,521.7393905,2560.930898,-896.2202298,490.256065,2479.358313,-929.4866164,0.0165457,0.015068,0.0161023,-387.4832917,152.0560982,-893.7434483,-777.1030548,-2053.395871,-50.4230809,0.7771974,1,1,1
59,2026-04-03T01:11:44.118,170.6282704,2618.994777,-883.3058327,179.5241688,2532.780567,-919.3541656,190.5144561,2447.926545,-956.9164242,199.7693266,2363.42186,-996.8134534,0.0161775,0.0154394,0.0159251,457.3956706,39.45064887,-909.848116,246.5209018,-2352.725457,880.4061258,0.6999432,1,1,1
60,2026-04-03T01:11:47.406,112.6490672,2549.504313,-744.8696173,112.0764753,2468.739824,-768.8621127,109.2767973,2384.774473,-799.8408794,110.7012569,2306.416676,-828.4899156,0.0133115,0.0137513,0.0134214,63.95041193,-6.93218708,-876.9004578,-47.07993369,-1799.968865,-76.5701135,0.8591904,1,1,1
61,2026-04-03T01:11:50.478,13.1760792,2513.49292,-619.2540017,19.13673118,2424.67524,-622.3342231,20.90751327,2335.511027,-631.789683,24.62760846,2248.660504,-641.8032891,0.0150495,0.0169077,0.015673,103.7362708,-8.692663166,-819.4023974,107.3703043,-3123.59909,-583.4452606,0.5509642,1,1,1
62,2026-04-03T01:11:53.593,-68.54570209,2528.648703,-566.492401,-76.58732989,2453.748939,-569.9074377,-87.0687949,2376.348088,-575.6257404,-87.17695241,2306.181325,-582.1972875,0.0165854,0.0170299,0.0152773,-164.9649326,-21.32362263,-853.6649585,-91.94439134,-2632.058394,-1301.272033,0.6676717,1,1,1
63,2026-04-03T01:11:56.471,457.4366805,2670.681511,-745.1816826,454.7790442,2575.867258,-742.4697945,453.8804966,2483.844862,-743.4743976,444.7143599,2387.360787,-749.1056784,0.0155533,0.0150618,0.0166987,282.1043178,-10.87318184,-930.4271104,-224.8136616,-3389.839408,-950.2300015,0.53612,1,1,1
64,2026-04-03T01:12:02.503,311.9763129,2559.931458,-402.9504359,308.6027792,2469.997062,-386.8863947,302.690991,2377.782524,-375.3056473,298.6100351,2290.225295,-365.9216718,0.0164547,0.0166615,0.0136698,149.9781899,-64.88251881,-953.3934637,-200.648321,-3211.269798,2563.186864,0.5121455,1,1,1
65,2026-04-03T01:12:06.185,-264.0544416,2549.569449,-761.606674,-254.6404583,2479.410689,-781.1784657,-236.3894481,2413.258732,-801.68575,-278.9504477,2322.752479,-839.3295145,0.0178305,0.0163376,0.0132362,-458.5509441,38.92479084,-861.900926,-158.1940994,-1769.731485,-47.73258235,0.8682112,1,1,1
66,2026-04-03T01:12:14.551,347.5747037,2590.020095,-408.7327373,334.4250773,2515.338622,-380.2837182,318.8754657,2439.98029,-354.3799597,308.5568461,2369.143028,-332.7027855,0.0162895,0.0161548,0.0131238,-100.2086312,26.53859161,-884.3907456,-447.8100364,-2545.955385,2526.250429,0.6361798,1,1,1
67,2026-04-03T01:12:16.856,196.0244006,2580.863506,-651.317189,181.1541587,2515.154221,-652.2700785,164.5923053,2448.661807,-653.27528,154.3646485,2385.346196,-659.838939,0.0165731,0.014543,0.0160471,-344.4979588,-13.94630189,-1003.886135,-411.8587106,-1961.5899,1624.771928,0.8109548,1,1,2
68,2026-04-03T01:12:24.536,-11.56425964,2603.298591,-952.6879099,-16.59477885,2513.845189,-986.601534,-7.535264964,2430.518167,-1017.211894,-4.595503328,2348.021713,-1051.891579,0.0166178,0.0158539,0.016087,96.55595444,4.355746017,-926.4300293,100.1155128,-2382.920389,-276.9737888,0.7089478,1,1,1
